en	meaning_en	example_en
ink	A colored fluid used for writing, drawing, or printing.	Black ink stained fingers during calligraphy practice sessions.
inning	Each of the divisions of a game during which both sides have a turn at bat.	Extra inning extended the baseball game past midnight.
insecticide	A substance used for killing insects.	Organic insecticide protects crops without harming beneficial pollinators.
insecurity	Uncertainty or anxiety about oneself; lack of confidence.	Childhood insecurity affected adult relationships and decision-making confidence.
inside	The inner side or part of something; the interior.	Cave inside revealed ancient paintings created by prehistoric inhabitants.
installment	A sum of money due as one of several equal payments for something.	Monthly installment made the expensive furniture affordable for families.
insulator	A substance that does not readily allow the passage of heat or sound.	Ceramic insulator prevents electrical current from traveling through power lines.
intake	An amount of food, air, or another substance taken into the body.	Daily water intake affects physical performance and mental clarity.
interchange	The action of exchanging or swapping things.	Cultural interchange enriched both societies through shared knowledge.
interim	The intervening time; a temporary or provisional arrangement.	Corporate interim leadership maintained operations during CEO transition.
intersection	A point where two or more things intersect.	Busy intersection controlled traffic flow with synchronized signal lights.
intimacy	Close familiarity or friendship; closeness.	Emotional intimacy developed through years of honest communication.
intuition	The ability to understand something immediately, without conscious reasoning.	Motherly intuition sensed danger before logical analysis confirmed it.
inventory	A complete list of items such as property, goods in stock.	Warehousing inventory tracks products from delivery to shipment.
Ireland	Island in North Atlantic; divided between two countries.	Emerald Ireland attracts millions of tourists seeking Celtic heritage.
Irish	Relating to Ireland or its people or language.	Traditional Irish music features fiddles, flutes, and bodhrán drums.
irrelevance	The quality or state of being irrelevant.	Data irrelevance made research findings questionable and unreliable.
italic	Denoting a typeface in which the letters slant to the right.	Elegant italic font emphasized important passages in the manuscript.
keynote	A prevailing tone or central theme.	Conference keynote inspired entrepreneurs to pursue sustainable business practices.
kimchi	A Korean dish of spicy fermented cabbage.	Traditional kimchi fermented underground during cold winter months.
kitten	A young domestic cat; a baby feline animal.	Playful kitten chased shadows and pounced on moving shoelaces.
kitty	A kitten or young cat; a fund of money for communal use.	Office kitty collected donations for employee birthday celebrations.
klutz	A clumsy or awkward person.	Self-described klutz dropped dishes frequently despite careful handling.
knitting	The craft of creating fabric by interlocking loops of yarn with needles.	Relaxing knitting created warm scarves for winter weather.
knockoff	An imitation or copy of something, typically of inferior quality.	Cheap knockoff lacked the quality and durability of original products.
Korea	A peninsula in East Asia, divided into North and South Korea.	Historic Korea influenced neighboring countries through culture and technology.
lace	Delicate fabric made of threads woven in intricate patterns.	Handmade lace adorned the wedding dress with elegant patterns.
lance	A long spear used by mounted warriors.	Medieval knight charged forward with lance pointed at enemy shields.
licorice	A sweet black candy flavored with anise.	Black licorice divides people into lovers and strong dislikers.
lid	A removable cover for a container.	Tight-fitting lid preserved freshness of stored food items.
like	A preference or something similar.	Social media like indicates approval of posted content.
likeness	Resemblance or similarity in appearance.	Portrait captured perfect likeness of the historical figure.
limitation	A restriction or constraint.	Budget limitation forced designers to choose simpler materials.
limp	A way of walking unevenly due to injury.	Slight limp remained after the ankle injury healed completely.
lining	A layer of material covering the inside of something.	Silk lining made the wool coat comfortable against skin.
lipstick	A cosmetic product used to color the lips.	Vintage lipstick shades complemented the retro fashion theme.
listener	A person who listens.	Active listener provided emotional support during difficult conversations.
litigation	The process of taking legal action.	Corporate litigation resolved the patent dispute after two years.
